movement_id,date,origin_city,origin_state,origin_zip,destination_city,destination_state,destination_zip,total_rate,carrier_name,carrier_id,customer_name,customer_id,miles,origin_lat,origin_lng,destination_lat,destination_lng,bearing_degree,RPM,cardinal_direction,lat_diff,lng_diff,route_center_lat,route_center_lng,distance_log,distance_squared,distance_sqrt,rate_per_mile,rate_per_mile_log,total_revenue,month,day_of_week,quarter,is_weekend,season,distance_category,customer_encoded,carrier_encoded,route_frequency,rate_efficiency,geographic_complexity,bearing_sin,bearing_cos
188296,2025-07-07,LONG BEACH,CA,90802,FULLERTON,CA,92831,322.5,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,20.133321953709853,33.745762,-118.208042,33.879767,-117.89634,62.554842578537716,16.018220974237924,NE,0.13400500000000193,0.311702000000011,33.8127645,-118.052191,3.0508510343069375,405.35065289173514,4.487017044062776,16.018220974237924,2.834284592079104,322.5,7,0,3,0,Summer,Short,16,9,274,16.018220974237924,0.44570700000001295,0.8874524049550362,0.46089936964539496
188297,2025-07-07,LONG BEACH,CA,90802,FULLERTON,CA,92831,322.5,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,20.133321953709853,33.745762,-118.208042,33.879767,-117.89634,62.554842578537716,16.018220974237924,NE,0.13400500000000193,0.311702000000011,33.8127645,-118.052191,3.0508510343069375,405.35065289173514,4.487017044062776,16.018220974237924,2.834284592079104,322.5,7,0,3,0,Summer,Short,16,9,274,16.018220974237924,0.44570700000001295,0.8874524049550362,0.46089936964539496
188780,2025-07-30,LONG BEACH,CA,90802,MORENO VALLEY,CA,92551,516.0,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,57.18737508400016,33.745762,-118.208042,33.88274,-117.224878,80.20736155157243,9.022970528758647,E,0.13697799999999916,0.9831640000000021,33.814251,-117.71646000000001,4.063668408250881,3270.3958689981223,7.562233471931434,9.022970528758647,2.304879511677102,516.0,7,2,3,0,Summer,Long,16,9,110,9.022970528758647,1.1201420000000013,0.985429759430248,0.170082889290027
189281,2025-07-10,LONG BEACH,CA,90802,FULLERTON,CA,92833,425.0,REALISTIC TRANSPORTATION AND,REALCOCA,Signature Housewares,SIGNCACA,16.87232649022632,33.745762,-118.208042,33.879314,-117.96174,56.80267949307745,25.189175911584623,NE,0.13355200000000167,0.24630200000000002,33.812538,-118.084891,2.8832535104134696,284.67540119279283,4.107593759152227,25.189175911584623,3.2653461922584164,425.0,7,3,3,0,Summer,Short,17,9,3,25.189175911584623,0.3798540000000017,0.8367899198727613,0.5475240907935812
189983,2025-06-30,LONG BEACH,CA,90802,FULLERTON,CA,92833,425.0,REALISTIC TRANSPORTATION AND,REALCOCA,Signature Housewares,SIGNCACA,16.87232649022632,33.745762,-118.208042,33.879314,-117.96174,56.80267949307745,25.189175911584623,NE,0.13355200000000167,0.24630200000000002,33.812538,-118.084891,2.8832535104134696,284.67540119279283,4.107593759152227,25.189175911584623,3.2653461922584164,425.0,6,0,2,0,Summer,Short,17,9,3,25.189175911584623,0.3798540000000017,0.8367899198727613,0.5475240907935812
189985,2025-07-16,LONG BEACH,CA,90802,FULLERTON,CA,92833,425.0,REALISTIC TRANSPORTATION AND,REALCOCA,Signature Housewares,SIGNCACA,16.87232649022632,33.745762,-118.208042,33.879314,-117.96174,56.80267949307745,25.189175911584623,NE,0.13355200000000167,0.24630200000000002,33.812538,-118.084891,2.8832535104134696,284.67540119279283,4.107593759152227,25.189175911584623,3.2653461922584164,425.0,7,2,3,0,Summer,Short,17,9,3,25.189175911584623,0.3798540000000017,0.8367899198727613,0.5475240907935812
190303,2025-07-09,LONG BEACH,CA,90802,FULLERTON,CA,92831,322.5,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,20.133321953709853,33.745762,-118.208042,33.879767,-117.89634,62.554842578537716,16.018220974237924,NE,0.13400500000000193,0.311702000000011,33.8127645,-118.052191,3.0508510343069375,405.35065289173514,4.487017044062776,16.018220974237924,2.834284592079104,322.5,7,2,3,0,Summer,Short,16,9,274,16.018220974237924,0.44570700000001295,0.8874524049550362,0.46089936964539496
190305,2025-07-08,LONG BEACH,CA,90802,FULLERTON,CA,92831,322.5,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,20.133321953709853,33.745762,-118.208042,33.879767,-117.89634,62.554842578537716,16.018220974237924,NE,0.13400500000000193,0.311702000000011,33.8127645,-118.052191,3.0508510343069375,405.35065289173514,4.487017044062776,16.018220974237924,2.834284592079104,322.5,7,1,3,0,Summer,Short,16,9,274,16.018220974237924,0.44570700000001295,0.8874524049550362,0.46089936964539496
190308,2025-07-09,LONG BEACH,CA,90802,FULLERTON,CA,92831,322.5,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,20.133321953709853,33.745762,-118.208042,33.879767,-117.89634,62.554842578537716,16.018220974237924,NE,0.13400500000000193,0.311702000000011,33.8127645,-118.052191,3.0508510343069375,405.35065289173514,4.487017044062776,16.018220974237924,2.834284592079104,322.5,7,2,3,0,Summer,Short,16,9,274,16.018220974237924,0.44570700000001295,0.8874524049550362,0.46089936964539496
190309,2025-07-08,LONG BEACH,CA,90802,FULLERTON,CA,92831,322.5,REALISTIC TRANSPORTATION AND,REALCOCA,Samsung SDS America Inc,SAMSPLTX,20.133321953709853,33.745762,-118.208042,33.879767,-117.89634,62.554842578537716,16.018220974237924,NE,0.13400500000000193,0.311702000000011,33.8127645,-118.052191,3.0508510343069375,405.35065289173514,4.487017044062776,16.018220974237924,2.834284592079104,322.5,7,1,3,0,Summer,Short,16,9,274,16.018220974237924,0.44570700000001295,0.8874524049550362,0.46089936964539496
